author,sample,n,prop_female,age,items,time_diff,retest,construct
,8,573,0,72.28,1,6,0.48,life
,8,524,0,71.88,1,7,0.47,life
,8,483,0,71.88,1,8,0.46,life
,8,436,0,71.6,1,9,0.44,life
,8,382,0,71.33,1,10,0.42,life
,8,366,0,71,1,11,0.38,life
,8,350,0,70.6,1,12,0.38,life
Busseri et al. (2007),1,615,0.75,18.65,1,0.25,0.45,life
,2,188,0.7,22.88,1,0.67,0.48,life
,2,188,0.7,22.55,1,1.33,0.47,life
Campbell et al. (1976),1,,0.58,44.5,1,0.67,0.4,life
Chamberlain & Zika (1992),1,179,1,29,2,0.25,0.64,life
,1,179,1,29,2,0.5,0.56,life
,2,129,0.57,69,2,0.25,0.72,life
,2,129,0.57,69,2,0.5,0.66,life
Chiriboga (1982),1,70,0.5,40.83,1,11,0.1,life
Costa et al. (1981),1,406,0,57,3,6.3,0.52,life
,1,140,0,57,3,12.8,0.48,life
Cramer (1995),1,299,0.18,25.23,6,1.04,0.72,life
Crnic (1984 as cited in Veenhoven 1994),1,105,1,40.83,1,0.6,0.61,life
,1,105,1,40.83,1,1.5,0.51,life
Diener et al. (1985),1,76,0.51,18,5,0.17,0.82,life
Dobson (1985 as cited in Veenhoven 1994),1,1319,0,57,1,10,0.39,life
Eells (1985),1,1188,0.66,44,1,2,0.4,life
,1,1188,0.66,44,1,4,0.34,life
German Socioeconomic Panel (GSOEP),1,1510,1,22.52,1,1,0.44,life
,1,1348,1,22.25,1,2,0.39,life
,1,1197,1,21.98,1,3,0.36,life
,1,1059,1,21.71,1,4,0.33,life
,1,935,1,21.46,1,5,0.3,life
,1,820,1,21.22,1,6,0.29,life
,1,715,1,20.98,1,7,0.28,life
,1,617,1,20.74,1,8,0.27,life
,1,529,1,20.49,1,9,0.26,life
,1,448,1,20.25,1,10,0.25,life
,1,395,1,19.98,1,11,0.24,life
,1,347,1,19.71,1,12,0.26,life
,1,305,1,19.44,1,13,0.22,life
,1,263,1,19.17,1,14,0.22,life
,1,227,1,18.9,1,15,0.21,life
,2,2362,1,33.94,1,1,0.51,life
,2,2217,1,33.44,1,2,0.46,life
,2,2073,1,32.93,1,3,0.43,life
,2,1937,1,32.43,1,4,0.41,life
,2,1816,1,31.93,1,5,0.39,life
,2,1694,1,31.43,1,6,0.37,life
,2,1572,1,30.92,1,7,0.36,life
,2,1450,1,30.41,1,8,0.35,life
,2,1340,1,29.91,1,9,0.34,life
,2,1226,1,29.41,1,10,0.33,life
,2,1160,1,28.93,1,11,0.32,life
,2,1092,1,28.44,1,12,0.31,life
,2,1033,1,27.96,1,13,0.29,life
,2,973,1,27.47,1,14,0.3,life
,2,909,1,26.99,1,15,0.27,life
,3,3294,1,54.82,1,1,0.55,life
,3,3113,1,54.35,1,2,0.5,life
,3,2936,1,53.88,1,3,0.47,life
,3,2760,1,53.4,1,4,0.44,life
,3,2602,1,52.92,1,5,0.42,life
,3,2445,1,52.45,1,6,0.41,life
,3,2288,1,51.97,1,7,0.4,life
,3,2127,1,51.49,1,8,0.38,life
,3,1980,1,50.99,1,9,0.37,life
,3,1830,1,50.49,1,10,0.35,life
,3,1747,1,50.01,1,11,0.34,life
,3,1666,1,49.51,1,12,0.33,life
,3,1596,1,49.04,1,13,0.33,life
,3,1525,1,48.57,1,14,0.31,life
,3,1454,1,48.1,1,15,0.3,life
,4,571,1,78.46,1,1,0.53,life
,4,524,1,78.09,1,2,0.48,life
,4,483,1,77.73,1,3,0.45,life
,4,444,1,77.37,1,4,0.42,life
,4,409,1,77.02,1,5,0.4,life
,4,376,1,76.66,1,6,0.36,life
,4,345,1,76.31,1,7,0.35,life
,4,315,1,75.96,1,8,0.33,life
,4,288,1,75.6,1,9,0.31,life
,4,261,1,75.26,1,10,0.29,life
,4,239,1,74.91,1,11,0.29,life
,4,219,1,74.56,1,12,0.28,life
,4,201,1,74.22,1,13,0.25,life
,4,183,1,73.9,1,14,0.26,life
,4,166,1,73.56,1,15,0.26,life
,5,1373,0,22.34,1,1,0.45,life
,5,1211,0,22.08,1,2,0.39,life
,5,1064,0,21.81,1,3,0.37,life
,5,929,0,21.55,1,4,0.34,life
,5,807,0,21.31,1,5,0.31,life
,5,697,0,21.06,1,6,0.28,life
,5,600,0,20.83,1,7,0.27,life
,5,509,0,20.6,1,8,0.25,life
,5,432,0,20.36,1,9,0.24,life
,5,361,0,20.12,1,10,0.21,life
,5,316,0,19.87,1,11,0.19,life
,5,276,0,19.62,1,12,0.2,life
,5,243,0,19.37,1,13,0.18,life
,5,211,0,19.1,1,14,0.16,life
,5,181,0,18.82,1,15,0.14,life
,6,2303,0,33.84,1,1,0.51,life
,6,2164,0,33.34,1,2,0.46,life
,6,2025,0,32.84,1,3,0.43,life
,6,1891,0,32.34,1,4,0.41,life
,6,1772,0,31.83,1,5,0.39,life
,6,1656,0,31.32,1,6,0.38,life
,6,1540,0,30.81,1,7,0.36,life
,6,1425,0,30.29,1,8,0.35,life
,6,1320,0,29.79,1,9,0.33,life
,6,1213,0,29.28,1,10,0.33,life
,6,1148,0,28.79,1,11,0.31,life
,6,1083,0,28.29,1,12,0.31,life
,6,1025,0,27.81,1,13,0.3,life
,6,964,0,27.32,1,14,0.3,life
,6,904,0,26.84,1,15,0.28,life
,7,3172,0,54.86,1,1,0.56,life
,7,2984,0,54.4,1,2,0.52,life
,7,2801,0,53.94,1,3,0.49,life
,7,2619,0,53.48,1,4,0.46,life
,7,2457,0,53.02,1,5,0.45,life
,7,2297,0,52.56,1,6,0.43,life
,7,2138,0,52.09,1,7,0.41,life
,7,1976,0,51.64,1,8,0.4,life
,7,1833,0,51.16,1,9,0.38,life
,7,1688,0,50.69,1,10,0.37,life
,7,1607,0,50.23,1,11,0.36,life
,7,1526,0,49.77,1,12,0.35,life
,7,1456,0,49.32,1,13,0.33,life
,7,1384,0,48.87,1,14,0.32,life
,7,1313,0,48.42,1,15,0.32,life
,8,336,0,77.86,1,1,0.56,life
,8,306,0,77.47,1,2,0.52,life
,8,279,0,77.09,1,3,0.5,life
,8,254,0,76.72,1,4,0.48,life
,8,232,0,76.35,1,5,0.48,life
,8,212,0,75.99,1,6,0.43,life
,8,192,0,75.63,1,7,0.42,life
,8,173,0,75.29,1,8,0.41,life
,8,156,0,74.95,1,9,0.38,life
,8,140,0,74.61,1,10,0.36,life
,8,127,0,74.27,1,11,0.36,life
,8,116,0,73.94,1,12,0.36,life
,8,106,0,73.6,1,13,0.35,life
,8,96,0,73.28,1,14,0.3,life
,8,86,0,72.93,1,15,0.29,life
Glatzer (1984),1,1984,0.51,49,1,0,0.6,life
,1,294,0.51,49,1,2,0.45,life
Hawkins & Booth (2005),1,1147,0.62,35.46,1,12,0.28,life
Headey & Wearing (1989),1,649,0.54,41.5,6,2,0.64,life
,1,649,0.54,41.5,6,4,0.51,life
,1,649,0.54,41.5,6,6,0.52,life
Holahan (1981),1,532,1,60.86,8,5,0.42,life
Horley & Lavery (1991),1,93,0.53,32.3,1,7,0.21,life
Huebner et al. (2000),1,99,0.66,16.14,7,1,0.53,life
Kozma & Stones (1980 as cited in Veenhoven 1994),1,55,0.51,80,2,0.9,0.57,life
Lang & Heckhausen (2001),1,42,0.43,81.8,4,0.48,0.75,life
Lepper (1998),1,528,0.2,70,4,0.75,0.73,life
Ligon (2007),1,56,0.75,81.1,20,0,0.7,life
,1,56,0.75,81.1,20,0.19,0.62,life
Lyubomirsky & Lepper (1999),1,86,0.51,19.2,4,0.08,0.85,life
,2,81,0.51,19.2,4,0.08,0.9,life
,3,43,0.51,19.2,4,0.06,0.61,life
,4,36,0.51,17.3,4,0.25,0.71,life
,5,198,0.51,55,4,1,0.55,life
Lucas et al. (1996),1,212,0.62,18,5,0.08,0.77,life
,2,109,0.63,20.5,5,2,0.68,life
,3,172,0.55,18,5,0.01,0.77,life
Makino & Tagami (1998 as cited in Yasuda 2003),1,,0.51,40.83,1,0.04,0.69,life
Marks & Fleming (1999),1,4734,0.51,22.12,9,1,0.59,life
,1,4459,0.51,21.6,9,2,0.52,life
,1,4969,0.51,21.42,9,3,0.47,life
,1,4688,0.51,21.18,9,4,0.44,life
,1,4687,0.51,20.47,9,5,0.43,life
,1,4704,0.51,20.2,9,6,0.38,life
,1,5132,0.51,20.67,9,7,0.37,life
,1,4795,0.51,19.92,9,8,0.36,life
,1,4550,0.51,19.67,9,9,0.36,life
,1,4459,0.51,20,9,10,0.34,life
,1,5109,0.51,19.33,9,11,0.34,life
,1,4403,0.51,19,9,12,0.34,life
,1,3542,0.51,18.67,9,13,0.34,life
,1,3386,0.51,19,9,14,0.3,life
McCrae & Costa (1991),1,349,0.4,54.6,8,2,0.62,life
National Health and Nutrition Examination Survey (NHANES),1,346,1,26.9,1,9.5,0.39,life
,2,1851,1,44.4,1,9.5,0.3,life
,3,573,1,66.1,1,9.5,0.25,life
,4,288,0,26.8,1,9.5,0.12,life
,5,1480,0,45.3,1,9.5,0.28,life
,6,431,0,65.9,1,9.5,0.3,life
National Survey of Families and Households (NSFH),1,1774,1,24.5,1,5.5,0.24,life
,1,284,1,30,1,8.5,0.31,life
,1,336,1,24.5,1,14,0.18,life
,2,3699,1,41.1,1,5.5,0.3,life
,2,2637,1,46.4,1,8.5,0.29,life
,2,2804,1,41.1,1,14,0.25,life
,3,1086,1,70.2,1,5.5,0.25,life
,3,434,1,74,1,8.5,0.27,life
,3,453,1,70.2,1,14,0.19,life
,4,1322,0,24.9,1,5.5,0.2,life
,4,117,0,30.3,1,8.5,0.26,life
,4,137,0,24.9,1,14,0.19,life
,5,2851,0,41,1,5.5,0.29,life
,5,1928,0,46.3,1,8.5,0.27,life
,5,2241,0,41,1,14,0.25,life
,6,791,0,69.4,1,5.5,0.33,life
,6,370,0,73.8,1,8.5,0.22,life
,6,393,0,69.4,1,14,0.22,life
Nes et al. (2006),1,1941,0,21.73,4,6,0.51,life
,2,2381,1,21.73,4,6,0.49,life
Palmore & Kivett (1977),1,378,0.48,58,1,2,0.56,life
,1,378,0.48,58,1,4,0.4,life
Pavot & Diener (1993a),1,185,0.59,18,1,0.08,0.6,life
Pavot & Diener (1993b),1,83,0.64,24,5,4,0.54,life
Pavot et al. (1991),1,130,0.65,20,5,0.04,0.84,life
,1,130,0.65,20,5,0.08,0.84,life
Reker & Wong (1984),1,34,0.51,77,6,2,0.79,life
Ryff (1989),1,117,0.6,43.5,20,0.12,0.83,life
Schimmack et al. (2002),1,122,0.7,21,5,0.08,0.5,life
,1,122,0.7,21,5,0.25,0.74,life
Schyns (2001),1,1357,0.51,40.83,1,1,0.34,life
,1,1357,0.51,40.83,1,2,0.26,life
Shek (2007),1,2758,0.56,12.65,5,1,0.44,life
Simmons & Blyth (1987 as cited in Veenhoven 1994),1,310,0.48,13.5,4,1,0.42,life
,1,310,0.48,12,4,4,0.25,life
Swiss Household Panel (SHP),1,249,1,16.1,1,1,0.48,life
,1,202,1,15.89,1,2,0.37,life
,1,160,1,15.68,1,3,0.34,life
,1,125,1,15.44,1,4,0.36,life
,1,99,1,15.2,1,5,0.3,life
,1,77,1,14.96,1,6,0.35,life
,1,52,1,14.75,1,7,0.2,life
,1,41,1,14.5,1,8,0.15,life
,1,26,1,14.25,1,9,0.46,life
,1,14,1,14,1,10,0.38,life
,2,497,1,26.9,1,1,0.52,life
,2,426,1,26.36,1,2,0.49,life
,2,373,1,25.81,1,3,0.44,life
,2,326,1,25.26,1,4,0.41,life
,2,292,1,24.7,1,5,0.38,life
,2,272,1,24.16,1,6,0.34,life
,2,238,1,23.6,1,7,0.34,life
,2,241,1,23.07,1,8,0.37,life
,2,254,1,22.6,1,9,0.32,life
,2,258,1,22.1,1,10,0.26,life
,3,1870,1,47.88,1,1,0.6,life
,3,1700,1,47.38,1,2,0.57,life
,3,1564,1,46.89,1,3,0.55,life
,3,1446,1,46.4,1,4,0.51,life
,3,1366,1,45.93,1,5,0.5,life
,3,1342,1,45.48,1,6,0.49,life
,3,1273,1,45.05,1,7,0.47,life
,3,1316,1,44.57,1,8,0.46,life
,3,1390,1,44.05,1,9,0.46,life
,3,1421,1,43.6,1,10,0.42,life
,4,503,1,73.03,1,1,0.54,life
,4,455,1,72.63,1,2,0.52,life
,4,412,1,72.24,1,3,0.47,life
,4,379,1,71.86,1,4,0.46,life
,4,354,1,71.45,1,5,0.46,life
,4,349,1,71.02,1,6,0.43,life
,4,330,1,70.58,1,7,0.48,life
,4,339,1,70.2,1,8,0.43,life
,4,351,1,69.85,1,9,0.44,life
,4,352,1,69.5,1,10,0.44,life
,5,236,0,16.09,1,1,0.44,life
,5,187,0,15.87,1,2,0.39,life
,5,151,0,15.64,1,3,0.31,life
,5,116,0,15.4,1,4,0.25,life
,5,93,0,15.17,1,5,0.23,life
,5,72,0,14.9,1,6,0.21,life
,5,50,0,14.68,1,7,0.22,life
,5,39,0,14.43,1,8,0.2,life
,5,33,0,14.15,1,9,0.47,life
,5,20,0,13.9,1,10,0.17,life
,6,432,0,26.4,1,1,0.55,life
,6,369,0,25.83,1,2,0.49,life
,6,318,0,25.29,1,3,0.46,life
,6,276,0,24.77,1,4,0.44,life
,6,249,0,24.2,1,5,0.38,life
,6,233,0,23.62,1,6,0.45,life
,6,201,0,23.02,1,7,0.42,life
,6,196,0,22.47,1,8,0.36,life
,6,200,0,22,1,9,0.46,life
,6,202,0,21.5,1,10,0.4,life
,7,1399,0,47.95,1,1,0.59,life
,7,1261,0,47.44,1,2,0.55,life
,7,1150,0,46.95,1,3,0.52,life
,7,1054,0,46.43,1,4,0.51,life
,7,986,0,45.95,1,5,0.51,life
,7,956,0,45.44,1,6,0.48,life
,7,883,0,44.95,1,7,0.47,life
,7,903,0,44.43,1,8,0.46,life
,7,948,0,43.9,1,9,0.42,life
,7,964,0,43.4,1,10,0.44,life
,8,359,0,72.34,1,1,0.58,life
,8,322,0,71.94,1,2,0.56,life
,8,292,0,71.54,1,3,0.54,life
,8,266,0,71.13,1,4,0.54,life
,8,248,0,70.72,1,5,0.54,life
,8,238,0,70.3,1,6,0.5,life
,8,219,0,69.88,1,7,0.52,life
,8,220,0,69.47,1,8,0.47,life
,8,228,0,69.05,1,9,0.4,life
,8,225,0,68.7,1,10,0.54,life
Tuddenham (1962),1,51,0,17,1,15,0.1,life
,2,41,1,17,1,15,0.19,life
Vitterso (2001),1,224,0.51,19,5,0.75,0.62,life
Yardley & Rice (1991),1,65,0.51,18,5,0.19,0.5,life
Allen et al. (1994),1,60,0.49,14.8,26,2,0.51,self
Alsaker & Olewus (1992),1,134,1,13,6,0.42,0.87,self
,1,267,1,11,6,1,0.86,self
,1,245,1,11,6,2,0.91,self
,1,134,1,11,6,2.42,0.87,self
,2,149,0,13,6,0.42,0.87,self
,2,261,0,11,6,1,0.85,self
,2,252,0,11,6,2,0.85,self
,2,145,0,11,6,2.42,0.84,self
,3,196,1,14,6,0.42,0.86,self
,3,236,1,12.5,6,1,0.9,self
,3,171,1,13,6,1.42,0.88,self
,3,192,1,12,6,2,0.88,self
,3,165,1,12,6,2.42,0.89,self
,4,187,0,14,6,0.42,0.81,self
,4,252,0,12.5,6,1,0.86,self
,4,170,0,13,6,1.42,0.83,self
,4,212,0,12,6,2,0.85,self
,4,162,0,12,6,2.42,0.83,self
,5,144,1,15,6,0.42,0.89,self
,5,224,1,13.5,6,1,0.9,self
,5,116,1,14,6,1.42,0.9,self
,5,205,1,13,6,2,0.91,self
,5,129,1,13,6,2.42,0.9,self
,6,132,0,15,6,0.42,0.87,self
,6,270,0,13.5,6,1,0.85,self
,6,115,0,14,6,1.42,0.88,self
,6,243,0,13,6,2,0.86,self
,6,123,0,13,6,2.42,0.87,self
,7,216,1,14.5,6,1,0.92,self
,7,242,1,14,6,2,0.92,self
,8,244,0,14.5,6,1,0.84,self
,8,278,0,14,6,2,0.83,self
,9,230,1,12,6,1,0.91,self
,9,137,1,12,6,1.42,0.87,self
,10,274,0,12,6,1,0.88,self
,10,152,0,12,6,1.42,0.85,self
Americans' Changing Lives (ACL),1,142,1,28.4,3,3,0.39,self
,1,127,1,28.4,3,8,0.4,self
,2,746,1,44.15,3,3,0.5,self
,2,665,1,44.15,3,8,0.47,self
,3,733,1,71.5,3,3,0.43,self
,3,464,1,71.5,3,8,0.39,self
,4,109,0,28.45,3,3,0.52,self
,4,100,0,28.45,3,8,0.46,self
,5,490,0,43.4,3,3,0.5,self
,5,438,0,43.4,3,8,0.45,self
,6,322,0,70.45,3,3,0.49,self
,6,186,0,70.45,3,8,0.42,self
Arnold (1988),1,20,0.4,21.5,10,0.33,0.84,self
,1,20,0.4,21,10,0.92,0.6,self
,1,20,0.4,21,10,1.25,0.69,self
,2,28,0.5,21,11,0.5,0.73,self
,2,28,0.5,21,11,1,0.69,self
Block & Robins (1993),1,47,1,14,43,4,0.48,self
,1,47,1,18,43,5,0.55,self
,1,47,1,14,43,9,0.55,self
,2,44,0,14,43,4,0.37,self
,2,44,0,18,43,5,0.32,self
,2,44,0,14,43,9,0.25,self
Cairns et al. (1990),1,2364,0.53,17,7,1.5,0.47,self
Coleman et al. (1993),1,69,0.44,81.1,16,2.5,0.47,self
,1,101,0.44,71.5,16,11.5,0.35,self
,1,69,0.44,71,16,13,0.39,self
Deihl et al. (1997),1,142,0.46,14,10,1,0.64,self
,1,142,0.46,13.5,10,2,0.57,self
,1,142,0.46,13,10,3,0.53,self
Eccles et al. (1989),1,725,1,12.5,5,0.5,0.53,self
,1,725,1,12.25,5,1,0.48,self
,1,725,1,12,5,1.5,0.38,self
,2,725,0,12.5,5,0.5,0.5,self
,2,725,0,12.25,5,1,0.45,self
,2,725,0,12,5,1.5,0.42,self
Elliott (1996),1,3076,1,19,10,7,0.44,self
Engel (1959),1,45,1,14,100,2,0.54,self
,2,37,1,16,100,2,0.59,self
,3,44,0,14,100,2,0.45,self
,4,23,0,16,100,2,0.54,self
Felson & Zielinski (1989),1,176,0,11.4,5,1,0.45,self
,2,162,1,11.4,5,1,0.43,self
Fenzel (2000),1,116,0.56,10.55,6,0.25,0.72,self
,1,116,0.56,10.8,6,0.42,0.68,self
,1,116,0.56,10.55,6,0.67,0.74,self
Fincham & Bradbury (1993),1,96,0,34,10,1,0.54,self
,2,94,1,32,10,1,0.64,self
Gerrard et al. (2000),1,251,0.51,16,10,1,0.61,self
Granleese & Joseph (1994),1,24,0.58,8,6,3,0.61,self
Hare (1984),1,248,0.49,10.5,18,3,0.44,self
High School and Beyond data from Trzesniewski et al. (2003),1,12987,0.49,15,6,2,0.47,self
,1,12987,0.49,17,6,4,0.41,self
,1,12987,0.49,15,6,6,0.35,self
,2,12212,0.49,17,6,2,0.46,self
,2,12212,0.49,19,6,4,0.45,self
,2,12212,0.49,17,6,6,0.37,self
Hirsch & DuBois (1991),1,128,0.56,12.25,10,0.5,0.62,self
,1,128,0.56,12.5,10,1,0.48,self
,1,128,0.56,12.5,10,1.5,0.55,self
,1,128,0.56,12,10,2,0.39,self
Hoge et al. (1990),1,308,0.55,12.5,10,0.5,0.63,self
,1,308,0.55,12,10,1.5,0.54,self
Keltikangas-Jarvinen (1990),1,150,1,18,24,6,0.46,self
,2,111,0,18,24,6,0.5,self
,3,151,1,15,24,6,0.45,self
,4,126,0,15,24,6,0.44,self
,5,198,1,12,24,6,0.4,self
,6,158,0,12,24,6,0.36,self
Lintunen et al. (1995),1,49,1,13,8,1,0.65,self
,1,49,1,12.5,8,2,0.47,self
,1,49,1,12,8,3,0.51,self
,2,64,0,13,8,1,0.67,self
,2,64,0,12.5,8,2,0.6,self
,2,64,0,12,8,3,0.52,self
Lucas et al. (1996),1,212,0.62,18,9,0.08,0.65,self
,2,109,0.63,20.5,10,2,0.53,self
,3,172,0.55,18,10,0.01,0.71,self
Marsh & Grayson (1994),1,1768,0,17,10,1,0.61,self
,1,1710,0,16.5,10,2,0.52,self
,1,1620,0,16,10,3,0.42,self
,1,1608,0,19,10,4,0.5,self
,1,1608,0,18,10,5,0.45,self
,1,1608,0,17,10,6,0.41,self
,1,1608,0,16,10,7,0.3,self
Marsh & Smith (1982),1,91,0.49,10.65,26,1,0.38,self
Marsh (1996),1,141,0.49,14.58,6,0.25,0.89,self
,1,141,0.49,14.83,6,0.33,0.76,self
,1,141,0.49,14.29,6,0.58,0.78,self
,1,141,0.49,14,6,0.83,0.77,self
,1,141,0.49,14,6,1.17,0.66,self
Marsh et al. (1998),1,130,0.49,7.4,8,1,0.33,self
,2,139,0.49,6.3,8,1,0.25,self
,3,127,0.49,5.4,8,1,0.27,self
McGuire et al. (1999),1,496,0.51,13.6,5,2.6,0.39,self
Mendelson et al. (1996),1,85,0.56,11.9,6,2,0.44,self
,2,76,0.6,8.9,6,2,0.33,self
Moneta et al. (2001),1,322,0.55,16,7,2,0.64,self
,1,187,0.55,15,7,4,0.64,self
Mortimer et al. (1982),1,368,0,19,29,4,0.63,self
,1,368,0,23,29,10,0.52,self
,1,368,0,19,29,14,0.46,self
Muldoon (2000),1,110,0.52,8,6,4,0.44,self
National Educational Longitudinal Study (NELS),1,3738,1,15,7,2,0.52,self
,1,3720,1,14,7,4,0.42,self
,2,1270,1,16.1,7,2,0.54,self
,2,1205,1,15.1,7,4,0.42,self
,3,2852,0,15,7,2,0.5,self
,3,2857,0,14,7,4,0.35,self
,4,1504,0,16.1,7,2,0.45,self
,4,1450,0,15.1,7,4,0.32,self
National Longitudinal Study (NLS),1,7246,1,18.5,4,1,0.44,self
,1,7149,1,19,4,2,0.42,self
,1,6678,1,20.5,4,3,0.44,self
,1,7248,1,18,4,4,0.34,self
,1,6403,1,20,4,5,0.42,self
,1,6311,1,19,4,6,0.35,self
,1,5624,1,21.5,4,7,0.38,self
,1,4687,1,22,4,10,0.4,self
,1,4646,1,20,4,12,0.36,self
,1,4603,1,19,4,13,0.31,self
,1,4829,1,18,4,14,0.28,self
,2,6646,0,18.6,4,1,0.4,self
,2,6612,0,19.1,4,2,0.39,self
,2,6114,0,20.6,4,3,0.4,self
,2,6845,0,18.1,4,4,0.3,self
,2,5793,0,20.1,4,5,0.38,self
,2,5693,0,19.1,4,6,0.31,self
,2,5128,0,21.6,4,7,0.35,self
,2,4077,0,22.1,4,10,0.38,self
,2,4011,0,20.1,4,12,0.33,self
,2,3905,0,19.1,4,13,0.31,self
,2,4259,0,18.1,4,14,0.27,self
Neyer & Asendorpf (2001),1,489,0.54,24.6,5,4,0.49,self
Nottelmann (1987),1,226,0.52,11.5,7,0.5,0.55,self
,1,226,0.52,11.5,7,1,0.51,self
O'Malley & Bachman (1983),1,117,0.49,18,8,1,0.52,self
,1,117,0.49,19,8,2,0.59,self
,1,117,0.49,18,8,3,0.41,self
Ormel & Schaufeli (1991),1,226,0.48,39,17,8,0.65,self
,2,389,0.37,24,6,1,0.73,self
Pullmann & Allik (2000),1,78,0.85,21.1,10,0.04,0.84,self
,2,81,0.61,34.7,10,0.42,0.67,self
,3,81,0.59,38.7,10,1,0.62,self
Reitzes & Mutran (2006),1,737,0.52,60.54,10,2,0.58,self
Rhee (2000),1,4591,0.52,16.05,8,1,0.59,self
Roberts & Bengtson (1996),1,273,0.64,36,10,3,0.75,self
Roeser & Eccles (1998),1,1046,0.5,13,12,1.5,0.51,self
Rubin (1978),1,83,1,12,50,3,0.7,self
,2,106,0,12,50,3,0.58,self
,3,82,1,9,50,3,0.51,self
,4,109,0,9,50,3,0.35,self
Salmela-Aro & Nurmi (1997),1,256,0.75,21.9,10,2,0.7,self
Savin-Williams & Demo (1984),1,39,0.62,14.2,32,1,0.62,self
Shek (2007,1,2758,0.56,12.65,5,1,0.51,self
Wade et al. (1989),1,426,1,13.16,4,2,0.6,self
,2,391,0,13.16,4,2,0.46,self
,3,172,1,13.16,4,2,0.37,self
,4,164,0,13.16,4,2,0.3,self
Wallace et al. (1984),1,38,1,9.42,58,5.42,0.46,self
,2,32,0,9.42,58,5.42,0.35,self
Wilhelm & Parker (1990),1,164,0.49,25.6,10,5,0.52,self
,1,163,0.49,23.1,10,10,0.48,self
Zimmerman et al. (1997),1,1160,0.5,12.5,17,1,0.55,self
,1,1160,0.5,14,17,1.5,0.52,self
,1,1160,0.5,12,17,2,0.41,self
,1,1160,0.5,13,17,2.5,0.38,self
,1,1160,0.5,12,17,3.5,0.29,self
Zuckerman & O'Loughlin (2006),1,176,0.72,20,10,0.5,0.78,self